employeeNumber|lastName|firstName|birthday|address|phoneNumber|sssNumber|philhealthNumber|tinNumber|pagibigNumber|status|position|immediateSupervisor|basicSalary|riceSubsidy|phoneAllowance|clothingAllowance|grossSemiMonthlyRate|hourlyRate|SSS Contribution|PhilHealth Contribution|Pag-ibig Contribution
10022|Delos Santos|Kolby |11/25/1985|06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur|739-443-033|52-0109570-6|357451271274|187-500-345-000|113017988667|Probationary|Account Rank and File|Mata, Christian|24000|1500|500|500|12000|142.86|1080|1200|200
10023|Santos|Vella |02/26/1980|99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur|955-879-269|52-9883524-3|548670482885|101-558-994-000|360028104576|Probationary|Account Rank and File|Mata, Christian|22500|1500|500|500|11250|133.93|1012.50|1125|200
10024|Del Rosario|Tomas|12/31/1983|80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque|882-550-989|45-5866331-6|953901539995|560-735-732-000|913108649964|Probationary|Account Rank and File|Mata, Christian|22500|1500|500|500|11250|133.93|1012.50|1125|200
10025|Tolentino|Jacklyn |12/08/1988|96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao|675-757-366|47-1692793-0|753800654114|841-177-857-000|210546661243|Probationary|Account Rank and File|De Leon, Selena|24000|1500|500|500|12000|142.86|1080|1200|200
10026|Gutierrez|Percival |05/19/1984|58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur|512-899-876|40-9504657-8|797639382265|502-995-671-000|210897095686|Probationary|Account Rank and File|De Leon, Selena|24750|1500|500|500|12375|147.33|1100|1250|200
10027|Manalaysay|Garfield |10/21/1990|60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur|948-628-136|45-3298166-4|810909286264|336-676-445-000|211274476563|Probationary|Account Rank and File|De Leon, Selena|24750|1500|500|500|12375|147.33|1100|1250|200
10028|Villegas|Lizeth |12/18/1978|66/77 Mann Views, Luisiana 1263 Dinagat Islands|332-372-215|40-2400719-4|934389652994|210-395-397-000|122238077997|Probationary|Account Rank and File|De Leon, Selena|24000|1500|500|500|12000|142.86|1080|1200|200
10029|Ramos|Carol |12/30/1993|72/70 Stamm Spurs, Bustos 4550 Iloilo|250-700-389|60-1152206-4|351830469744|395-032-717-000|212141893454|Probationary|Account Rank and File|De Leon, Selena|22500|1500|500|500|11250|133.93|1012.50|1125.00|200
10030|Maceda|Emelia |04/26/1988|50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija|973-358-041|54-1331005-0|465087894112|215-973-013-000|515012579765|Probationary|Account Rank and File|De Leon, Selena|22500|1500|500|500|11250|133.93|1012.50|1125.00|200
10031|Aguilar|Delia |10/25/1990|95 Cremin Junction, Surallah 2809 Cotabato|529-705-439|52-1859253-1|136451303068|599-312-588-000|110018813465|Probationary|Account Rank and File|De Leon, Selena|22500|1500|500|500|11250|133.93|1012.50|1125.00|200
10032|Castro|John Rafael|04/12/1981|Hi-way, Yati, Liloan Cebu|332-424-955 |26-7145133-4|601644902402|404-768-309-000|697764069311|Regular|Sales & Marketing|Reyes, Isabella|52670|1500|1000|1000|26335|313.52|1350|2633.50|200
10033|Martinez|Carlos Ian|12/06/1996|Bulala, Camalaniugan|078-854-208|11-5062972-7|380685387212|256-436-296-000|993372963726|Regular|Supply Chain and Logistics|Reyes, Isabella|52670|1500|1000|1000|26335|313.52|1350|2633.50|200
10034|Santos|Beatriz|02/24/1986|Agapita Building, Metro Manila|526-639-511|20-2987501-5|918460050077|911-529-713-000|874042259378|Regular|Customer Service and Relations|Reyes, Isabella|52670|1500|1000|1000|26335|313.52|1350|2633.50|200
